,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.800,2.000,3.433,2.033,1.766,1.587,1.531,1.401,,28.840.000,3.000,1.700,2.833,1.681,1.461,1.282,1.268,1.161,,,,,,,,,,,,,,,,,,,,,,,,,
,CB 150 R SE,3.700,1.900,3.545 ,2.099 ,1.823 ,1.639 ,1.581 ,1.446 ,,,3.100,1.800,2.823,1.675,1.456,1.277,1.264,1.157,,,,,,,,,,,,,,,,,,,,,,,,,
,36.630.000,3.800,2.000,3.535 ,2.093 ,1.818 ,1.634 ,1.576 ,1.442 ,,VARIO EVO 160 - CBS ,3.050,1.750,2.970,1.762,1.532,1.344,1.330,1.218 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.900,2.100,3.525 ,2.087 ,1.813 ,1.630 ,1.572 ,1.438 ,,30.240.000,3.100,1.800,2.965,1.759,1.529,1.342,1.328,1.216,,,,,,,,,,,,,,,,,,,,,,,,,
,CBR 150 - HS,4.050,2.250,3.888 ,2.302 ,2.000 ,1.798 ,1.734 ,1.586 ,,,3.200,1.900,2.955,1.753,1.524,1.337,1.323,1.212,,,,,,,,,,,,,,,,,,,,,,,,,
,40.360.000,4.100,2.300,3.883 ,2.299 ,1.997 ,1.795 ,1.732 ,1.584 ,,VARIO EVO 160 - CBS NITRO,3.050,1.750,2.996,1.777,1.545,1.355,1.341,1.228 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.200,2.400,3.873 ,2.293 ,1.992 ,1.791 ,1.727 ,1.580 ,,30.490.000,3.100,1.800,2.991,1.774,1.542,1.353,1.339,1.226,,,,,,,,,,,,,,,,,,,,,,,,,
,CBR 150 - MP,4.150,2.350,3.949 ,2.339 ,2.032 ,1.826 ,1.762 ,1.612 ,,,3.200,1.900,2.981,1.768,1.537,1.349,1.335,1.222,,,,,,,,,,,,,,,,,,,,,,,,,
,41.070.000,4.200,2.400,3.944 ,2.336 ,2.029 ,1.824 ,1.759 ,1.610 ,,VARIO EVO 160 - ABS,3.350,2.050,3.257,1.932,1.680,1.474,1.458,1.335 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.300,2.500,3.934 ,2.330 ,2.024 ,1.819 ,1.755 ,1.606 ,,33.360.000,3.400,2.100,3.252,1.929,1.677,1.472,1.456,1.333,,,,,,,,,,,,,,,,,,,,,,,,,
,CBR 150 ABS - JNA,4.500,2.700,4.273 ,2.531 ,2.198 ,1.976 ,1.906 ,1.744 ,,,3.500,2.200,3.242,1.924,1.672,1.467,1.452,1.329,,,,,,,,,,,,,,,,,,,,,,,,,
,44.610.000,4.600,2.800,4.263 ,2.525 ,2.193 ,1.971 ,1.902 ,1.740 ,,STYLO CBS,3.200,1.900,3.085,1.830,1.591,1.396,1.381,1.265 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.700,2.900,4.253 ,2.519 ,2.188 ,1.967 ,1.897 ,1.736 ,,31.520.000,3.300,2.000,3.075,1.825,1.586,1.392,1.377,1.261 ,,,,,,,,,,,,,,,,,,,,,,,,,
,CBR 150 ABS - JNS KE0,4.550,2.750,4.340 ,2.570 ,2.233 ,2.007 ,1.936 ,1.771 ,,,3.400,2.100,3.065,1.819,1.581,1.387,1.373,1.257,,,,,,,,,,,,,,,,,,,,,,,,,
,45.320.000,4.600,2.800,4.335 ,2.567 ,2.230 ,2.005 ,1.934 ,1.769 ,,STYLO ABS,3.500,2.200,3.366,1.997,1.736,1.523,1.507,1.380 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.700,2.900,4.325 ,2.561 ,2.225 ,2.000 ,1.929 ,1.765 ,,34.580.000,3.600,2.300,3.356,1.991,1.731,1.519,1.503,1.376,,,,,,,,,,,,,,,,,,,,,,,,,
,CBR 150 ABS - JNU KEA,4.500,2.700,4.273 ,2.531 ,2.198 ,1.976 ,1.906 ,1.744 ,,,3.700,2.400,3.346,1.985,1.726,1.514,1.498,1.372,,,,,,,,,,,,,,,,,,,,,,,,,
,44.610.000,4.600,2.800,4.263 ,2.525 ,2.193 ,1.971 ,1.902 ,1.740 ,,STYLO ABS SE,3.650,2.350,3.513,2.084,1.812,1.590,1.573,1.441 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.700,2.900,4.253 ,2.519 ,2.188 ,1.967 ,1.897 ,1.736 ,,36.180.000,3.700,2.400,3.508,2.082,1.810,1.588,1.571,1.439,,,,,,,,,,,,,,,,,,,,,,,,,
,CRF - 150,4.050,2.250,3.869 ,2.291 ,1.990 ,1.789 ,1.726 ,1.579 ,,,3.800,2.500,3.498,2.076,1.805,1.583,1.567,1.435,,,,,,,,,,,,,,,,,,,,,,,,,
,40.180.000,4.100,2.300,3.864 ,2.289 ,1.988 ,1.787 ,1.724 ,1.577 ,,PCX 160 - CBS,3.700,2.400,3.550,2.106,1.831,1.647,1.590,1.456 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.200,2.400,3.854 ,2.283 ,1.983 ,1.782 ,1.719 ,1.573 ,,36.590.000,3.800,2.500,3.540,2.100,1.826,1.643,1.585,1.452 ,,,,,,,,,,,,,,,,,,,,,,,,,
,CB 150 X ,3.600,1.800,3.482 ,2.062 ,1.791 ,1.610 ,1.553 ,1.420 ,,,3.900,2.600,3.530,2.094,1.821,1.638,1.581,1.448,,,,,,,,,,,,,,,,,,,,,,,,,
,35.910.000,3.700,1.900,3.472 ,2.056 ,1.786 ,1.605 ,1.548 ,1.417 ,,PCX  160 - ABS,4.050,2.750,3.899,2.314,2.012,1.810,1.746,1.599 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.800,2.000,3.462 ,2.050 ,1.781 ,1.601 ,1.544 ,1.413 ,,40.380.000,4.100,2.800,3.894,2.311,2.009,1.807,1.744,1.597,,,,,,,,,,,,,,,,,,,,,,,,,
,CB 150 X - SE,3.650,1.850,3.529 ,2.089 ,1.815 ,1.631 ,1.573 ,1.440 ,,,4.200,2.900,3.884,2.305,2.004,1.803,1.740,1.593,,,,,,,,,,,,,,,,,,,,,,,,,
,36.420.000,3.700,1.900,3.524 ,2.087 ,1.812 ,1.629 ,1.571 ,1.438 ,,PCX 160 - ABS Roadsync,4.400,3.100,4.185,2.483,2.159,1.942,1.875,1.717 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.800,2.000,3.514 ,2.081 ,1.807 ,1.625 ,1.567 ,1.434 ,,43.540.000,4.500,3.200,4.175,2.478,2.154,1.938,1.870,1.713,,,,,,,,,,,,,,,,,,,,,,,,,
